STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ODISHA,Honor Killing,1972,2076,2215,2086,2671,2661,2089,2121,2915,4840,3739,4699
PUNJAB,Honor Killing,2746,2514,2177,1939,1544,1683,1911,1963,1871,2159,2229,2288
RAJASTHAN,Honor Killing,7082,7312,7058,8116,6799,8277,8486,8027,9326,9113,9791,9949
SIKKIM,Honor Killing,0,3,1,1,3,4,8,5,12,4,4,6
TAMIL NADU,Honor Killing,1545,1797,2558,2540,2606,2392,3538,3351,2697,2981,2879,4019
TRIPURA,Honor Killing,252,249,477,493,882,857,618,1064,1760,1172,1776,1147
UTTAR PRADESH,Honor Killing,19827,17126,7089,14394,14154,14590,23465,27984,31807,29853,33465,36115
UTTARAKHAND,Honor Killing,746,802,854,1454,698,989,1437,570,890,625,382,484
WEST BENGAL,Honor Killing,6645,8792,9549,10212,12201,15354,14700,17521,13884,18387,17583,22911
TOTAL (STATES),Honor Killing,108207,112034,107896,123057,124816,133675,153486,163986,173647,179476,179784,196627
A & N ISLANDS,Honor Killing,7,3,15,15,7,7,34,23,35,12,8,4
CHANDIGARH,Honor Killing,33,51,112,134,142,190,143,80,28,18,24,86
D & N HAVELI,Honor Killing,4,8,2,6,13,6,3,11,0,14,4,0
DAMAN & DIU,Honor Killing,13,4,0,8,7,14,19,20,4,6,0,11
DELHI,Honor Killing,1200,844,2594,2435,2572,3256,2688,725,658,878,860,1026
LAKSHADWEEP,Honor Killing,0,0,0,1,0,1,0,0,2,0,0,1
PUDUCHERRY,Honor Killing,3,12,4,1,3,31,39,16,21,9,21,7
TOTAL (UTs),Honor Killing,1260,922,2727,2600,2744,3505,2926,875,748,937,917,1135
TOTAL (ALL-INDIA),Honor Killing,109467,112956,110623,125657,127560,137180,156412,164861,174395,180413,180701,197762
ANDHRA PRADESH,Homicides,6,0,1,5,5,0,0,0,0,0,0,0
ARUNACHAL PRADESH,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,Homicides,0,0,0,0,3,0,0,0,1,0,2,2
BIHAR,Homicides,179,63,48,39,90,68,87,56,17,26,26,6
CHHATTISGARH,Homicides,0,0,0,0,0,3,0,0,0,5,7,0
GOA,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
